5061648,LYNN LAKE         ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2011
5061648,LYNN LAKE         ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2011
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1952, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     7.8, ,    11.1, ,    13.6, ,    11.9, ,     6.3, ,     -.6, ,   -11.1, ,   -16.4, , -9999.9,M, -9999.9,M, -9999.9,M,    12.2, ,    -1.8, 
1953,   -27.5, ,   -18.4, ,   -14.9, ,    -6.5, ,     3.3, ,     9.3, ,    14.9, ,    15.8, ,     6.5, ,     1.0, ,    -6.7, ,   -24.1, ,    -3.9, ,   -20.8, ,    -6.0, ,    13.3, ,      .3, 
1954,   -33.3, ,   -17.9, ,   -16.6, ,   -11.4, ,     3.6, ,    12.2, ,    16.6, ,    13.5, ,     6.9, ,      .8, ,    -7.7, ,   -15.0, ,    -4.0, ,   -25.1, ,    -8.1, ,    14.1, ,      .0, 
1955,   -25.7, ,   -24.9, ,   -21.7, ,     -.3, ,     7.0, ,    15.2, ,    16.5, ,    15.4, ,     7.9, ,      .9, , -9999.9,M, -9999.9,M, -9999.9,M,   -21.9, ,    -5.0, ,    15.7, , -9999.9,M
1956,   -25.7, ,   -21.9, ,   -15.4, ,    -5.6, ,     4.5, ,    16.7, ,    16.8, ,    12.8, ,     5.1, ,      .7, ,   -12.2, ,   -23.6, ,    -4.0, , -9999.9,M,    -5.5, ,    15.4, ,    -2.1, 
1957,   -27.7, ,   -23.3, ,   -14.2, ,    -6.2, ,     3.5, ,    10.2, ,    16.1, ,    13.9, ,     8.6, ,     1.8, ,   -13.5, ,   -24.0, ,    -4.6, ,   -24.9, ,    -5.6, ,    13.4, ,    -1.0, 
1958,   -22.4, ,   -22.1, ,    -8.6, ,    -1.6, ,     8.2, ,     9.2, ,    13.7, ,    14.8, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,   -22.8, ,     -.7, ,    12.6, , -9999.9,M
1959, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    12.3, ,    16.9, ,    12.2, , -9999.9,M, -9999.9,M,   -18.0, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    13.8, , -9999.9,M
1960,   -25.9, ,   -20.4, ,   -17.3, ,    -4.5, ,     6.5, ,    12.1, ,    15.9, , -9999.9,M,     7.0, , -9999.9,M, -9999.9,M,   -20.8, , -9999.9,M, -9999.9,M,    -5.1, , -9999.9,M, -9999.9,M
1961,   -25.3, ,   -18.3, ,   -13.9, ,    -7.3, ,     5.5, ,    14.2, ,    15.4, ,    15.2, ,     4.8, ,    -1.8, ,   -10.6, ,   -24.7, ,    -3.9, ,   -21.5, ,    -5.2, ,    14.9, ,    -2.5, 
