506B047,NORWAY HOUSE      ,MB, station joined    , Monthly mean of homogenized daily mean temperature                     , °C,          Updated to December 2010
506B047,NORWAY HOUSE      ,MB, station jointe    , Moyenne mensuelle des températures homogénéisées moyennes quotidiennes , °C, Mise à jour jusqu à décembre 2010
Year,     Jan, ,     Feb, ,     Mar, ,     Apr, ,     May, ,     Jun, ,     Jul, ,     Aug, ,     Sep, ,     Oct, ,     Nov, ,     Dec, ,  Annual, ,  Winter, ,  Spring, ,  Summer, ,  Autumn
Year,    Janv, ,     Fév, ,    Mars, ,     Avr, ,     Mai, ,    Juin, ,    Juil, ,    Août, ,    Sept, ,     Oct, ,     Nov, ,     Déc, ,  Annuel, ,   Hiver, ,Printemp, ,     Eté, , Automne
1897, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     3.0, ,   -11.9, ,   -19.3, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1898,   -21.2, ,   -21.3, ,   -14.5, ,      .6, ,    10.2, ,    12.8, ,    17.0, ,    15.3, ,    10.9, ,     -.1, ,   -12.1, ,   -18.4, ,    -1.7, ,   -20.6, ,    -1.2, ,    15.0, ,     -.4, 
1899,   -26.8, ,   -25.7, ,   -20.3, ,    -1.9, ,     6.8, ,    13.6, ,    16.8, ,    14.0, ,     9.1, ,     2.8, ,    -2.3, ,   -17.5, ,    -2.6, ,   -23.6, ,    -5.1, ,    14.8, ,     3.2, 
1900,   -21.9, ,   -24.6, ,   -14.9, ,     4.6, ,    10.2, ,    15.1, ,    16.8, ,    16.5, , -9999.9,M,     5.5, ,   -11.6, , -9999.9,M, -9999.9,M,   -21.3, ,      .0, ,    16.1, , -9999.9,M
1901, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    18.0, ,    16.5, ,     8.2, ,     3.1, ,   -11.6, ,   -17.6, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,     -.1, 
1902,   -22.0, ,   -16.8, ,    -9.3, ,    -2.7, ,     8.2, ,     9.7, ,    17.8, ,    16.1, ,     8.8, ,     2.5, ,    -8.8, ,   -19.6, ,    -1.3, ,   -18.8, ,    -1.3, ,    14.5, ,      .8, 
1903,   -21.3, ,   -18.3, ,   -13.7, ,    -2.3, ,     5.8, ,    13.9, ,    15.6, ,    14.6, ,     6.4, ,     3.2, ,    -8.6, ,   -20.1, ,    -2.1, ,   -19.7, ,    -3.4, ,    14.7, ,      .3, 
1904,   -24.6, ,   -24.8, ,   -14.8, ,    -2.1, ,     8.4, ,    13.8, ,    15.7, ,    14.7, ,     7.9, ,     3.1, ,    -2.7, ,   -20.5, ,    -2.2, ,   -23.2, ,    -2.8, ,    14.7, ,     2.8, 
1905,   -23.2, ,   -19.9, ,    -9.9, ,      .0, ,     8.1, ,    12.1, ,    16.7, ,    15.6, ,    10.9, ,    -1.1, ,   -10.0, ,   -16.9, ,    -1.5, ,   -21.2, ,     -.6, ,    14.8, ,     -.1, 
1906,   -19.9, ,   -22.8, ,   -14.3, , -9999.9,M, -9999.9,M, -9999.9,M,    18.2, ,    16.3, ,    12.0, ,     1.5, ,    -5.9, ,   -21.7, , -9999.9,M,   -19.9, , -9999.9,M, -9999.9,M,     2.5, 
1907,   -27.6, ,   -20.3, ,   -12.3, ,    -8.1, ,    -1.4, ,    12.7, ,    15.4, ,    12.5, ,     7.1, ,     2.5, ,    -8.0, ,   -15.4, ,    -3.6, ,   -23.2, ,    -7.3, ,    13.6, ,      .5, 
1908,   -19.7, ,   -17.5, ,   -17.5, ,    -2.7, ,     8.5, ,    11.6, ,    17.2, ,    14.0, ,    10.9, ,     2.5, ,    -6.3, ,   -20.4, ,    -1.6, ,   -17.5, ,    -3.9, ,    14.3, ,     2.4, 
1909, -9999.9,M, -9999.9,M,   -11.3, ,    -8.3, ,     6.8, ,    13.7, ,    18.2, ,    17.3, ,    10.8, ,     3.6, ,    -9.6, ,   -17.9, , -9999.9,M, -9999.9,M,    -4.3, ,    16.4, ,     1.6, 
1910,   -20.2, ,   -22.0, ,    -5.3, ,     -.9, ,     6.1, ,    16.2, ,    17.7, ,    13.8, ,     7.6, ,     3.6, ,    -9.2, ,   -18.6, ,     -.9, ,   -20.0, ,      .0, ,    15.9, ,      .6, 
1911,   -30.7, ,   -17.3, ,   -12.4, ,      .1, ,     7.7, ,    15.1, ,    15.5, ,    14.4, , -9999.9,M,     1.8, ,   -13.1, , -9999.9,M, -9999.9,M,   -22.2, ,    -1.5, ,    15.0, , -9999.9,M
1912, -9999.9,M,   -21.5, ,   -18.6, ,    -2.0, ,     6.3, ,    14.4, ,    13.7, ,    13.5, ,     9.1, ,     2.5, ,    -5.9, ,   -17.7, , -9999.9,M, -9999.9,M,    -4.8, ,    13.8, ,     1.9, 
1913,   -28.1, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1914, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M,    -9.1, ,   -19.9, , -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M, -9999.9,M
1915,   -21.0, ,   -14.8, ,    -8.2, ,     4.6, ,     7.9, ,    10.0, ,    14.2, ,    15.2, ,     7.4, ,     2.8, ,    -7.1, ,   -17.2, ,     -.5, ,   -18.6, ,     1.4, ,    13.1, ,     1.1, 
1916,   -27.0, ,   -21.9, ,   -15.8, , -9999.9,M,     5.2, ,    12.2, , -9999.9,M,    16.3, ,     9.1, ,      .1, ,    -6.7, ,   -21.4, , -9999.9,M,   -22.0, , -9999.9,M, -9999.9,M,      .8, 
1917,   -26.7, ,   -25.2, ,   -10.5, ,    -4.9, ,     5.3, ,    11.5, ,    19.4, ,    13.0, ,    11.1, ,    -2.6, ,    -4.0, ,   -27.7, ,    -3.4, ,   -24.5, ,    -3.4, ,    14.6, ,     1.5, 
1918,   -24.5, ,   -23.8, ,   -10.4, ,      .7, ,     2.3, ,    10.4, ,    14.2, ,    14.7, ,     7.7, ,     2.7, ,    -5.8, ,   -15.7, ,    -2.3, ,   -25.3, ,    -2.5, ,    13.1, ,     1.5, 
